Target_ID tpeak amp dur_min rise fall prob
198242678.0 1686.030205723748 0.010909345447124364 39.0881361156907 0.0001 0.01 0.9999990463256836
198242678.0 1699.5827384473964 0.006630098551874968 39.02332239128208 0.0001 0.004472379382201284 0.9435923993587494
198242678.0 1701.3285392982305 0.005079032806964474 39.03383724280197 0.0001 0.009054190971611153 0.8127408623695374
198242678.0 1705.6298535987437 0.07517329598299702 39.33826360830547 0.0001 0.005325867967847495 1.0
198242678.0 1738.8835547037565 0.005067669859810469 39.03729812226566 0.0001 0.01 0.9404383897781372
198242678.0 1765.1083790384787 0.00612349090473521 39.030456372707974 0.0001 0.006282983953097406 0.9935414791107178
198242678.0 1766.1472627699545 0.006773648226934075 39.049232490810795 0.0001 0.01 0.9110452830791473
198242678.0 1770.7736388976343 0.006035556888603949 40.04187587049274 0.0001 0.01 0.9688326418399811
198242678.0 1784.6625416694128 0.005216102598696324 39.03635682720551 0.0001 0.01 0.9548839628696442
198242678.0 1793.9209189920703 0.005101335639486001 39.03353620407807 0.0001 0.01 0.908150851726532
198242678.0 1798.5528945559886 0.005522932975678438 39.04065828250026 0.0001 0.01 0.9623135924339294
198242678.0 1808.330758173278 0.0072505992026520374 41.05648470912007 0.0001 0.01 0.9908072352409363
198242678.0 1810.708561170297 0.006162205997669689 39.03983610273238 0.0001 0.008639730744200026 0.9998073577880859
198242678.0 1812.4433040120539 0.006707244077527594 46.04919073218979 0.0001 0.01 0.9619401693344116
198242678.0 1812.958588320881 0.0058107800292349614 39.04371332570008 0.0001 0.01 0.8303319215774536
198242678.0 1820.554513289755 0.029470949020436697 40.15963920173682 0.0001 0.006654240164597914 1.0
198242678.0 1826.3323739167167 0.006342830791201345 39.045195131546734 0.0001 0.01 0.9413845241069794
198242678.0 1829.768537759519 0.009071898375147427 39.06820404015355 0.0001 0.01 0.9934435188770294
198242678.0 1835.5880679495513 0.010967967738964125 46.076287172573196 0.0001 0.01 0.9974767565727234
198242678.0 1863.3691108927453 0.005843333643316223 39.0422249722513 0.0001 0.01 0.9161161482334137
198242678.0 1867.9997560468898 0.0063153100308429334 41.04319041448418 0.0001 0.01 0.8666904866695404
198242678.0 1891.1473744854088 0.005477781766306298 39.03997560857493 0.0001 0.01 0.9450857937335968
198242678.0 1895.7780068047844 0.006726455932194777 39.04877418654218 0.0001 0.01 0.9013306200504303
198242678.0 1905.0420250072016 0.00607292405235361 42.04516857905464 0.0001 0.01 0.9812768697738647
198242678.0 1907.3559456028752 0.011673039307300691 39.06456523586367 0.0001 0.006981104640657442 0.9998981356620789
198242678.0 1918.9283002231305 0.005155102683813153 39.03764968910573 0.0001 0.01 0.7339443266391754
198242678.0 1923.5602914042656 0.006887404768940951 39.0487788569238 0.0001 0.01 0.9381511807441711
198242678.0 1930.5270111416507 0.022872912326198175 39.108110238906974 0.0001 0.005978947285845202 0.9999561309814453
198242678.0 1931.1534036401788 0.009711669207136005 39.04149940128103 0.0001 0.0054625889516216886 0.9999414086341858
198242678.0 1932.8173023610575 0.006269743808460488 39.043438284925884 0.0001 0.01 0.914497435092926
198242678.0 1937.449274557697 0.006051302151137512 39.04660108451824 0.0001 0.01 0.9783899486064911
198242678.0 1946.7090246442108 0.006325883509509908 39.04866921938616 0.0001 0.01 0.9590010643005371
198242678.0 1948.6340276563 0.010155988985840872 40.07096797154847 0.0001 0.01 0.9988964796066284
198242678.0 1955.967374264421 0.005649063196767576 39.03976311718059 0.0001 0.01 0.9717457890510559
198242678.0 1965.224290632912 0.005246059231800404 39.03579012193053 0.0001 0.01 0.7703244984149933
198242678.0 1976.538113695786 0.024796163650261008 40.17254506119583 0.0001 0.008920835550680753 1.0
198242678.0 1978.086714152915 0.008291831149334277 39.02189531090641 0.0001 0.0030319027566402743 0.9881891906261444
198242678.0 1988.378285824126 0.007878411218018057 40.05764585928374 0.0001 0.01 0.9915856122970581
198242678.0 2002.2656165708138 0.007083183921652631 39.048358872710054 0.0001 0.01 0.9602783620357513
198242678.0 2006.8933324560942 0.005903274268001626 40.041714855791895 0.0001 0.01 0.8540738821029663
198242678.0 2016.154285107534 0.0064241697610110185 42.043448044306935 0.0001 0.01 0.9643185138702393
198242678.0 2034.6734159046239 0.006759854687838541 41.047298706037665 0.0001 0.01 0.9822831749916077
