Target_ID tpeak amp dur rise fall prob
283819432.0 1738.9361008446488 0.03579911789251316 0.05572204334776012 0.0001 0.009670273005853271 0.9402350187301636
283819432.0 1740.2749568856896 0.03879508631187786 0.05573605589655692 0.0001 0.009675769588722925 0.651135265827179
283819432.0 1741.2124356379343 0.04261346006327281 0.05575580881087766 0.0001 0.01 0.6969573497772217
283819432.0 1741.4790964792871 0.04366492726393563 0.05576854270179564 0.0001 0.01 0.7099563777446747
283819432.0 1742.8179574428516 0.040064402549703594 0.05505170514741499 0.0001 0.01 0.9056239128112793
283819432.0 1744.4262599356232 0.03945285815224297 0.05504961075410898 0.0001 0.01 0.8189278841018677
283819432.0 1746.0331763445918 0.04899143458946046 0.05579008601197081 0.0001 0.01 0.8034924566745758
283819432.0 1752.053919115512 0.052009530784879535 0.05787451076626223 0.0001 0.01 0.6631726026535034
283819432.0 1753.930281627486 0.04872302084112981 0.05578295635461712 0.0001 0.01 0.6105827689170837
283819432.0 1755.8052607096972 0.04164899814058374 0.0550533390092434 0.0001 0.01 0.6704908907413483
283819432.0 1756.0733136437827 0.039787346940434704 0.05504731513284575 0.0001 0.01 0.6139360666275024
283819432.0 1756.2108123327682 0.039282961717943335 0.055050457043170194 0.0001 0.009851865161470932 0.6674495339393616
283819432.0 1756.609419772263 0.03963161946681131 0.05505429275449301 0.0001 0.01 0.7956021428108215
283819432.0 1756.7455296728688 0.04156267083357436 0.05505057162455924 0.0001 0.01 0.6510207056999207
283819432.0 1757.145526241143 0.04113386763575517 0.055060193068563926 0.0001 0.01 0.945794552564621
283819432.0 1757.280247349411 0.04423375268378913 0.055063453342495634 0.0001 0.01 0.6404577195644379
283819432.0 1757.8177431137754 0.03692180321239595 0.055033852611607405 0.0001 0.009602382907261038 0.6260744333267212
283819432.0 1759.2885665341435 0.04176086159044907 0.05505041674982552 0.0001 0.01 0.7694975435733795
283819432.0 1931.4926427091377 0.045056328586471885 0.05508987680348715 0.0001 0.01 0.6266362071037292
283819432.0 1931.8912590398008 0.05075455724892704 0.055795996254437805 0.0001 0.01 0.8020070195198059
283819432.0 1932.8371045185725 0.05440386640393525 0.05506612935141121 0.0001 0.007328594687638604 0.6309709846973419
283819432.0 1933.5023906021008 0.04866584545350702 0.057881996354508386 0.0001 0.01 0.7258038222789764
283819432.0 1933.770449443026 0.07419793587138913 0.07049966956308404 0.0001 0.01 0.9769301116466522
283819432.0 1934.0426749639473 0.08295259969509447 0.07193792257249765 0.0001 0.01 0.9870283901691437
283819432.0 1934.4399019290129 0.12168146567285072 0.08672880493036769 0.0001 0.01 1.0
283819432.0 1934.5815702666048 0.10462141525830713 0.0755488288487457 0.0001 0.01 0.9953641593456268
283819432.0 1934.7107384468607 0.10165339254968407 0.07621653609641059 0.0001 0.01 1.0
283819432.0 1934.8468511428262 0.09094543606292893 0.08114892897021116 0.0001 0.01 0.8869414627552032
283819432.0 1935.119076503325 0.07941812088722863 0.07889369971257261 0.0001 0.01 0.9988048076629639
283819432.0 1935.3760238705402 0.180335230357115 0.11965846496718774 0.0001 0.01 1.0
283819432.0 1935.5051919918885 0.17419794763820393 0.11539969945378141 0.0001 0.01 1.0
283819432.0 1935.6510269556925 0.1922654174411273 0.11009304302947492 0.0001 0.01 0.9998601675033569
283819432.0 1935.7774172471466 0.28055531474799644 0.11197254280824764 0.0001 0.01 0.8962631821632385
283819432.0 1935.9176965704883 0.1522248155989646 0.1104929581811313 0.0001 0.01 0.8591532111167908
283819432.0 1936.0524202657093 0.21714140654478992 0.10676006287454935 0.0001 0.01 0.9999902546405792
283819432.0 1936.9829856836386 0.04247475572896683 0.055053353902939695 0.0001 0.01 0.7316246926784515
283819432.0 1937.3871564573037 0.04224062558889109 0.055049481688648046 0.0001 0.008294613690205682 0.6097471117973328
283819432.0 1937.5163244128753 0.05868721296963736 0.05514430353081131 0.0001 0.01 0.8590774536132812
283819432.0 1938.8580037278412 0.050012923374840416 0.055791742988890454 0.0001 0.01 0.7821954190731049
283819432.0 1939.5288427840346 0.04159343088963191 0.05503341816198257 0.0001 0.008941645701894646 0.6123679280281067
283819432.0 1939.9330126300963 0.040788398391378586 0.057835401115019835 0.0001 0.00926190641207749 0.6936768293380737
283819432.0 1945.421913327282 0.03968850950007015 0.05500329854569931 0.0001 0.006551909787210041 0.9258804321289062
283819432.0 1945.687191453524 0.05150990926495115 0.0558074699700218 0.0001 0.01 0.9060228168964386
283819432.0 1945.952469556949 0.05133426990569545 0.05511372199385634 0.0001 0.01 0.9318761229515076
283819432.0 1947.562193150361 0.04075687205334361 0.05574814224989813 0.0001 0.01 0.6542444229125977
283819432.0 1949.3038598735493 0.05565998909999668 0.05650919191979204 0.0001 0.01 0.9462517499923706
283819432.0 1949.8427484406036 0.06223756052088359 0.06489016436452756 0.0001 0.01 0.8021981716156006
283819432.0 1954.3941267826578 0.04157884727826551 0.05505888543988264 0.0001 0.009062510272331606 0.9866491854190826
283819432.0 1958.1427128842938 0.033730506169130293 0.05501860065942315 0.0001 0.01 0.645584911108017
283819432.0 1959.3454784677365 0.03617093233705201 0.05504007435891463 0.0001 0.01 0.6532207727432251
283819432.0 1963.4954326314044 0.045455610187823396 0.056452341884075614 0.0001 0.01 0.7199935913085938
283819432.0 1964.9718031493733 0.03745822799998227 0.055716470143901214 0.0001 0.00826349219456923 0.8034876585006714
283819432.0 1965.9106796998778 0.033590714084348404 0.056402847037468326 0.0001 0.01 0.748510867357254
283819432.0 1968.1828692498866 0.038085928366994724 0.05503958124073343 0.0001 0.01 0.7956248819828033
