tic gt tpeak pred_s0080 pred_s0028 pred_s0029 pred_s0004 pred_s0050 pred_s0005 pred_s0077 pred_s0038 pred_s0078 pred_s0018
55269690.0 0 1332.7376590932145 0.00044617945 9.481873e-05 0.0049286266 0.00021095043 0.0014253422 0.00095800875 0.0024269465 0.0024430265 0.00038823907 0.00015649856
201795667.0 1 1373.0537959924561 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
80453023.0 0 1374.3399511708512 0.00043634875 0.00012161864 0.01623734 6.979046e-05 0.0010879049 0.001563624 0.006604556 0.00467642 8.993951e-05 0.0001222515
161172848.0 0 1343.1752241130807 0.0018955934 0.0014097455 0.021885442 0.0013799749 0.008038521 0.0019222714 0.0032370416 0.0059637874 0.0010195762 0.00071618456
231122278.0 0 1340.0770763736205 0.008233726 0.015793504 0.021973846 0.0012389867 0.009794225 0.009275622 0.022305904 0.0063276235 0.0014527251 0.0015860905
25132694.0 0 1355.0857187085387 0.0032879268 0.0068712677 0.021947311 0.00095175504 0.0061585293 0.0064469907 0.013949629 0.0061656954 0.0017071733 0.0015673052
31740375.0 1 1351.193163007814 0.9999573 0.9999925 0.999936 0.9999964 0.9998553 0.99920577 0.99700147 0.99997246 0.9999989 0.9999969
31852565.0 0 1332.3193510129825 1.8653278e-05 0.0011817574 0.0028799018 0.00012225127 9.635531e-05 2.6092619e-05 9.651505e-05 4.068841e-05 3.1297423e-05 0.00080600457
220557560.0 1 1345.0766190177035 0.98969424 0.99901855 0.9974458 0.9997713 0.9994747 0.9900149 0.9995603 0.9158494 0.9533888 0.99676967
31740375.0 0 1380.7584138286325 2.0446741e-05 3.124941e-05 0.0006909815 1.48227255e-05 6.09939e-05 1.51028835e-05 0.00011684868 0.00013200886 9.400919e-06 6.9363705e-05
206592394.0 1 1379.2987127439412 0.989377 0.99302155 0.9305406 0.95799273 0.9884089 0.936853 0.83493155 0.97755706 0.98870033 0.9136984
55604222.0 0 1334.6667401544578 0.0019650008 0.0016842585 0.014825588 0.0007505074 0.0033475761 0.004635805 0.011021136 0.0035681638 0.004186993 0.0042940592
55604222.0 0 1354.250364366876 0.001566747 0.0014833551 0.014883506 0.00093664014 0.004020754 0.0029060096 0.0049019903 0.004749983 0.0011258638 0.00023005156
126945045.0 0 1352.8603630633204 1.3815048e-08 1.080188e-05 0.00029626343 1.5012997e-06 1.3444483e-06 1.6275129e-07 0.0001412324 2.9811033e-06 2.072571e-06 0.00018631332
147302016.0 0 1352.5823779185164 0.0013490552 0.0010901407 0.021859396 0.00043351206 0.0034238799 0.0034904892 0.008504726 0.0073956596 0.0013199872 0.0017035761
141212720.0 0 1365.9614477773755 0.0044154283 0.0053115855 0.008856459 0.008161905 0.0058132038 0.0019254963 0.022942927 0.003574522 0.022481287 0.15171823
33881250.0 1 1333.5941802699615 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
80337451.0 1 1371.3402740404827 0.99999666 0.9999994 0.99999917 0.99999964 0.99999964 0.9999821 0.9999999 1.0 0.99999976 0.99999917
167417695.0 0 1363.456653171829 5.0759036e-06 8.459657e-07 0.0032455178 4.5630523e-07 4.1838262e-05 0.0002065274 6.620027e-05 0.00038504956 2.0573661e-06 2.3526727e-06
140859822.0 0 1374.614304567006 0.00029367366 0.00016381625 0.0055061867 0.0001660103 0.00019925855 0.00016975163 0.00039014762 0.0005815269 0.0014039596 0.016001854
92254719.0 0 1337.9930330457157 7.762896e-05 3.182074e-06 0.00041165357 2.43831e-06 3.287841e-05 5.5630495e-05 0.00033548303 0.00018905956 3.0000212e-05 0.00143304
38586438.0 1 1326.8004163349738 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
