Target_ID tpeak amp ed_s rise fall prob
23.0 1932.4423410592997 1.0421763272755038 25.380510051163455 0.0001 0.00727989129088631 0.8705688118934631
23.0 1932.7270695170926 1.0396004720592367 7.56834205082909 0.0001 0.0013616321417504954 0.9876424074172974
23.0 1933.6909790628717 1.0742481606281515 44.98822761193766 0.0001 0.00612569410949873 1.0
23.0 1933.9118170244963 1.1819415684172043 172.68533286913595 0.0001 0.009799598939526342 1.0
23.0 1934.7312782798333 1.0373235607668319 10.182909914073834 0.0001 0.0023309899939609625 0.7428839802742004
23.0 1935.1521200154314 1.0401662553280966 36.47846674984116 0.0001 0.01 0.9560341835021973
23.0 1935.5896285774181 1.049642187087733 52.95634491486876 0.0001 0.01 1.0
23.0 1935.7382425555259 1.0330695175446432 7.495617835651906 0.0001 0.0017062060499126418 1.0
23.0 1936.0090810594163 1.0354185054494838 34.692721665478196 0.0001 0.01 0.9225843250751495
23.0 1937.6660555110254 1.0611908413066842 29.492173317380786 0.0001 0.004463392981149648 1.0
23.0 1937.7521681001151 1.0463063349538047 43.58074107984136 0.0001 0.01 1.0
23.0 1938.088284897176 1.0549501552360558 30.65812736302458 0.0001 0.0068850867548883865 1.0
23.0 1939.1896913843004 1.036936426491738 29.413148075118073 0.0001 0.01 0.9867600202560425
23.0 1947.17169539469 1.02784560951046 5.46837042735767 0.0001 0.0014614670118755712 0.8279950618743896
23.0 1947.8105873052025 1.0443374283967495 11.149484810325205 0.0001 0.001964406264576779 0.9999971985816956
23.0 1947.9328100672863 1.027853052410865 11.69717918108731 0.0001 0.004390588730393843 0.6885953545570374
23.0 1948.3314228521351 1.033851160277421 34.01241563028728 0.0001 0.01 1.0
23.0 1948.4564233488827 2.3808082090128253 902.3952616665695 0.001236674222006293 0.00617806543106562 1.0
23.0 1949.492538042553 1.0638550646388345 11.250088690253476 0.0001 0.001220143552139754 1.0
23.0 1950.9175413239866 1.0367534683564543 23.191142979812238 0.0001 0.006520527246521378 0.9998607337474823
23.0 1951.8244867908254 1.0519531211243833 32.35014454098644 0.0001 0.006692913262635116 1.0
23.0 1952.2217091791017 1.0297271838515185 16.072649628397045 0.0001 0.00585125243727669 0.732390284538269
23.0 1953.0064311718577 1.0390136753684456 29.663297141485714 0.0001 0.00880411233965342 0.9991288185119629
23.0 1953.713374667541 1.0462116250554612 42.169573406740895 0.0001 0.01 1.0
23.0 1953.7203190982689 1.0530427746209243 33.580308861606724 0.0001 0.006696992876586626 0.999993771314621
23.0 1954.2689288062481 1.0557906668242576 11.634477349095166 0.0001 0.001629018154317131 0.9999991655349731
