Target_ID tpeak amp ed_s rise fall prob
21.0 1870.6473540916152 1.009151966952408 1.461654790818031 0.0001 0.0009741674787294265 0.7030427753925323
21.0 1870.7876360129223 1.0115346115327735 2.7685162881905887 0.0001 0.0021206253031928277 0.9836358428001404
21.0 1871.358486068956 1.00766732808649 1.203198735813421 0.0001 0.0009622920223639288 0.7111985087394714
21.0 1873.0738115079164 1.0127042432053908 8.272321204530261 0.0001 0.007403958537101994 0.9999969899654388
21.0 1873.4390988445623 1.0090269459347887 2.152861082652789 0.0001 0.0018497774415344053 0.617191731929779
21.0 1873.707161276912 1.0116143358646974 2.2993521778149 0.0001 0.0015281801589171122 0.969590961933136
21.0 1875.1933083515437 1.0115969210454892 2.292683191133222 0.0001 0.0014850972223692607 0.8724340200424194
21.0 1876.0113821147577 1.0217372643085847 10.516931638404882 0.0001 0.005016585144728971 1.0
21.0 1876.3127774228738 1.043476565665344 30.640901460972376 0.0001 0.009320923937256495 1.0
21.0 1876.3224998495546 1.023287348434441 19.57634501131172 0.0001 0.009051805110410685 1.0
21.0 1877.2877971066066 1.0249513568628918 20.82612217801402 0.0001 0.01 1.0
21.0 1878.376705985351 1.0063018474134517 1.5018991677496334 0.0001 0.001786660478874145 0.6886686980724335
21.0 1878.7058782705328 1.0083240910747806 1.8979560658305432 0.0001 0.0017926680049141245 0.6981156170368195
21.0 1880.6156289963262 1.0111222301814495 2.373753141604086 0.0001 0.0016810551268959188 0.7819267511367798
21.0 1881.010078403187 1.0072235353111325 6.295906054975868 0.0001 0.01 0.6269980072975159
21.0 1881.2323032693828 1.1196072715739767 69.59566978783018 0.0001 0.005876530350636389 1.0
21.0 1882.6503728024697 1.060243171212598 27.87125089952257 0.0001 0.004871367150226368 1.0
21.0 1882.7739848572267 1.0608842763567068 37.77876304993234 0.0001 0.006892666755559253 1.0
21.0 1883.5364894033107 1.0067615926851654 3.097446837022167 0.0001 0.004379055756341985 0.9431695342063904
21.0 1883.7462124611004 1.0048027750400201 1.1907822203378493 0.0001 0.0019884378504334936 0.6554239988327026
21.0 1887.1004013140694 1.0118443607466099 4.2622535285790955 0.0001 0.0037639145124650697 0.673989474773407
21.0 1888.0948507325948 1.0451120774859999 25.288980685445498 0.0001 0.006359185762511557 1.0
21.0 1888.199017826261 1.0237106023728075 6.922259757556881 0.0001 0.002709736626370456 1.0
21.0 1889.3365212984647 1.0071622709632635 1.1418525560049173 0.0001 0.0009205274533487843 0.9436067938804626
21.0 1889.8309665617548 1.047281821872126 15.425104793417661 0.0001 0.003019001074643699 1.0
21.0 1893.385126364795 1.0091218507881896 7.107214118060408 0.0001 0.01 0.7950382828712463
21.0 1893.9045678532932 1.0071217193745352 1.9093185009600588 0.0001 0.002256634777075277 0.8918526768684387
21.0 1894.957337993 1.480348253487994 330.89408742183167 0.0001 0.00707331678455865 1.0
21.0 1896.6739869295905 1.0133976111370013 2.0121398732810047 0.0001 0.0008846221821152038 0.8758358955383301
21.0 1896.972594164931 1.0103955562699338 2.9038721008486754 0.0001 0.0024473983155643437 0.9641274809837341
21.0 1897.6420288162453 1.008994559100153 2.5987555763138723 0.0001 0.0025576905279081634 0.9298292994499207
